id,term,categories,notable_names,parent_id,sibling_id_1,sibling_id_2,sibling_id_3,appeared_year,peak_hypecycle_year,vanished_year,approved,source_title_1,source_url_1,source_doi_1,source_title_2,source_url_2,source_doi_2
1A9995D3,Metrics-driven,"Goal/Motivation, Audience-Orientation",,,,,,,,,,,,,,,
87D615CB,Metropolitan,Geographical Reference,,,,,,,,,,,,,,,
FE2EE5D9,Millennial,"Audience-Relationship, Audience-Orientation",,,,,,,,,,,,,,,
BEF7B9C5,Mobile,"Technology, Medium",,,,,,,,,,,,,,,
D3063761,Muckracking,Subject,,,,,,,,,,,,,,,
AE627016,Narrative,Textual Narration,,,,,,,,,,,,,,,
75A63A31,National,Geographical Reference,,,,,,,,,,,,,,,
FA8E42F4,Neo,Automated Production,,,,,,,,,,,,,,,
62357F35,Network(ed),"Audience-Relationship, Openness of Production",,,,,,,,,,,,,,,
D98DDB13,New,"Goal/Motivation, Textual Narration","Tom Wolfe, Lester Bangs, George Plimpton",,,,,1973,1970,,,,,,,,
887746B9,News,Purpose of Reporting,,,,,,,,,,,,,,,
5140194C,Newspaper,Social Media,,,,,,,,,,,,,,,
D593A70F,No-pay,Organization,,,,,,,,,,,,,,,
2F7A9B43,Non-profit / Public Domain / Foundation,Organization,,,,,,,,,,,,,,,
B63D84E6,Objective,Purpose of Reporting,,,,,,,,,,,,,,,
42C6C1BF,Obsessive-activist,Goal/Motivation,,,,,,,,,,,,,,,
45FC0D99,Online,Social Media,,,,,,,,,,,,,,,
31D00C07,Op-ed,Purpose of Reporting,,,,,,,,,,,,,,,
7A84A96F,Open-Data,"Technology, Quantified",,,,,,,,,,,,,,,
123BDEA1,Open-Source,"Technology, Quantified",,,,,,,,,,,,,,,
676D986A,Participatory,"Audience-Relationship, Openness of Production",,,,,,,,,,,,,,,
AA900424,Partisan,"Journalistic Approach, Political Stance",,,,,,,,,,,,,,,
3650AF59,Peace,"Purpose of Reporting, Subject",,,,,,,,,,,,,,,
CF4E8134,Peer-to-peer,"Audience-Relationship, Openness of Production",,,,,,,,,,,,,,,
D4F8E73F,Personal,Subject,,,,,,,,,,,,,,,
